IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
45.32.121.244,443,true,SIN,Asia Pacific,Singapore,143,1.00
38.47.104.197,443,true,NRT,Asia Pacific,Tokyo,38,0.85
18.183.158.211,443,true,NRT,Asia Pacific,Tokyo,41,0.74
38.47.126.88,443,true,NRT,Asia Pacific,Tokyo,40,0.73
43.156.181.203,443,true,SIN,Asia Pacific,Singapore,69,0.70
152.70.235.137,443,true,ICN,Asia Pacific,Seoul,105,0.65
38.207.175.225,443,true,HKG,Asia Pacific,Hong Kong,39,0.64
43.155.117.16,443,true,HKG,Asia Pacific,Hong Kong,32,0.62
141.147.178.193,443,true,NRT,Asia Pacific,Tokyo,67,0.62
43.156.116.194,443,true,SIN,Asia Pacific,Singapore,73,0.61
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,70,0.61
141.147.168.141,443,true,NRT,Asia Pacific,Tokyo,92,0.61
45.32.124.255,443,true,SIN,Asia Pacific,Singapore,116,0.61
43.154.87.192,443,true,HKG,Asia Pacific,Hong Kong,30,0.60
13.250.14.76,443,true,SIN,Asia Pacific,Singapore,66,0.58
45.32.121.217,443,true,SIN,Asia Pacific,Singapore,137,0.56
23.106.130.131,443,true,KIX,Asia Pacific,Osaka,48,0.56
23.106.132.54,443,true,KIX,Asia Pacific,Osaka,45,0.56
23.106.140.125,443,true,KIX,Asia Pacific,Osaka,38,0.56
23.106.140.125,443,true,KIX,Asia Pacific,Osaka,42,0.55
141.147.188.120,443,true,NRT,Asia Pacific,Tokyo,75,0.55
43.134.164.53,443,true,SIN,Asia Pacific,Singapore,71,0.55
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,37,0.54
45.66.129.201,443,true,NRT,Asia Pacific,Tokyo,53,0.53
139.177.185.196,443,true,SIN,Asia Pacific,Singapore,230,0.51
132.226.228.48,443,true,SIN,Asia Pacific,Singapore,220,0.51
146.56.141.197,443,true,ICN,Asia Pacific,Seoul,102,0.51
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,34,0.51
108.160.141.198,443,true,NRT,Asia Pacific,Tokyo,39,0.50
47.76.218.163,443,true,HKG,Asia Pacific,Hong Kong,37,0.50
38.207.174.62,443,true,HKG,Asia Pacific,Hong Kong,43,0.50
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,42,0.50
154.31.113.72,443,true,NRT,Asia Pacific,Tokyo,165,0.50
45.32.55.253,443,true,NRT,Asia Pacific,Tokyo,90,0.50
8.222.176.241,443,true,SIN,Asia Pacific,Singapore,71,0.49
158.101.77.33,443,true,NRT,Asia Pacific,Tokyo,83,0.49
8.213.133.87,443,true,ICN,Asia Pacific,Seoul,44,0.48
152.70.89.92,443,true,ICN,Asia Pacific,Seoul,90,0.47
140.83.63.113,443,true,KIX,Asia Pacific,Osaka,177,0.47
192.243.127.224,443,true,KIX,Asia Pacific,Osaka,44,0.47
154.16.10.177,443,true,HKG,Asia Pacific,Hong Kong,211,0.47
8.219.170.224,443,true,SIN,Asia Pacific,Singapore,70,0.47
176.97.73.81,443,true,NRT,Asia Pacific,Tokyo,74,0.46
158.179.174.3,443,true,ICN,Asia Pacific,Seoul,112,0.45
8.222.147.99,443,true,SIN,Asia Pacific,Singapore,73,0.45
8.213.157.76,443,true,ICN,Asia Pacific,Seoul,40,0.44
